"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"7","Jaxon Smith-Njigba","SEA","8","13","8","25","","","","","","","","","","","","","",""
"11","Tre Tucker","LV","24","78","1","73","","","","","","","","","","","","","",""
"133","Tyrell Shavers","BUF","118","123","76","114","","","","","","","","","","","","","",""
"158","Xavier Weaver","ARZ","","","","114","","","","","","","","","","","","","",""
"116","Jaylin Lane","WAS","95","119","119","78","","","","","","","","","","","","","",""
"42","Jameson Williams","DET","57","12","57","61","","","","","","","","","","","","","",""
"158","LaJohntay Wester","BLT","","123","","114","","","","","","","","","","","","","",""
"58","Dyami Brown","JAX","45","16","92","","","","","","","","","","","","","","",""
"16","Zay Flowers","BLT","1","27","87","23","","","","","","","","","","","","","",""
"75","Darius Slayton","NYG","118","60","53","49","","","","","","","","","","","","","",""
"15","Justin Jefferson","MIN","20","38","29","8","","","","","","","","","","","","","",""
"144","Jake Bobo","SEA","","123","121","91","","","","","","","","","","","","","",""
"97","Tylan Wallace","BLT","118","44","121","95","","","","","","","","","","","","","",""
"68","Terry McLaurin","WAS","70","47","37","","","","","","","","","","","","","","",""
"142","Demarcus Robinson","SF","","","","85","","","","","","","","","","","","","",""
"158","Jahdae Walker","CHI","","","","114","","","","","","","","","","","","","",""
"45","Calvin Austin III","PIT","16","95","30","82","","","","","","","","","","","","","",""
"158","Jalen Cropper","DAL","","","","114","","","","","","","","","","","","","",""
"93","Darnell Mooney","ATL","","85","43","94","","","","","","","","","","","","","",""
"157","Derius Davis","LAC","117","123","120","","","","","","","","","","","","","","",""
"147","Tay Martin","WAS","","","","95","","","","","","","","","","","","","",""
"111","Ben Skowronek","PIT","41","123","121","114","","","","","","","","","","","","","",""
"5","Garrett Wilson","NYJ","7","53","2","10","","","","","","","","","","","","","",""
"151","Curtis Samuel","BUF","","","","100","","","","","","","","","","","","","",""
"90","Isaiah Bond","CLV","104","102","82","40","","","","","","","","","","","","","",""
"73","Luther Burden III","CHI","115","112","10","105","","","","","","","","","","","","","",""
"71","Joshua Palmer","BUF","35","71","111","69","","","","","","","","","","","","","",""
"158","Russell Gage","SF","118","","","","","","","","","","","","","","","","",""
"158","Gunner Olszewski","NYG","","","121","","","","","","","","","","","","","","",""
"64","Matthew Golden","GB","84","112","38","30","","","","","","","","","","","","","",""
"117","Adam Thielen","MIN","118","82","121","84","","","","","","","","","","","","","",""
"89","Kendrick Bourne","SF","","72","47","91","","","","","","","","","","","","","",""
"54","Cooper Kupp","SEA","87","21","67","55","","","","","","","","","","","","","",""
"10","Deebo Samuel","WAS","6","17","69","11","","","","","","","","","","","","","",""
"158","Scott Miller","PIT","118","123","121","114","","","","","","","","","","","","","",""
"25","Chris Olave","NO","26","36","18","31","","","","","","","","","","","","","",""
"141","Tim Patrick","JAX","118","123","96","111","","","","","","","","","","","","","",""
"155","Bryce Oliver","TEN","99","123","","","","","","","","","","","","","","","",""
"49","Mike Evans","TB","38","43","27","","","","","","","","","","","","","","",""
"150","Skyy Moore","SF","118","123","102","114","","","","","","","","","","","","","",""
"151","Tai Felton","MIN","","","104","","","","","","","","","","","","","","",""
"59","DeAndre Hopkins","BLT","33","29","99","114","","","","","","","","","","","","","",""
"57","Tee Higgins","CIN","59","28","98","60","","","","","","","","","","","","","",""
"158","Charlie Jones","CIN","","123","121","","","","","","","","","","","","","","",""
"33","Tetairoa McMillan","CAR","30","21","47","33","","","","","","","","","","","","","",""
"144","David Moore","CAR","118","123","111","108","","","","","","","","","","","","","",""
"80","Jalen Tolbert","DAL","112","91","62","34","","","","","","","","","","","","","",""
"69","Travis Hunter","JAX","39","77","89","52","","","","","","","","","","","","","",""
"83","Elijah Moore","BUF","95","42","59","114","","","","","","","","","","","","","",""
"41","CeeDee Lamb","DAL","14","10","121","","","","","","","","","","","","","","",""
"36","Rashid Shaheed","NO","39","26","44","38","","","","","","","","","","","","","",""
"22","Romeo Doubs","GB","45","35","73","3","","","","","","","","","","","","","",""
"46","KaVontae Turpin","DAL","70","25","42","57","","","","","","","","","","","","","",""
"127","John Metchie III","PHI","118","120","107","85","","","","","","","","","","","","","",""
"67","Tory Horton","SEA","118","37","31","99","","","","","","","","","","","","","",""
"158","Jalen Royals","KC","","","","114","","","","","","","","","","","","","",""
"98","Demario Douglas","NE","50","108","92","114","","","","","","","","","","","","","",""
"142","Arian Smith","NYJ","118","121","100","114","","","","","","","","","","","","","",""
"78","Brandin Cooks","NO","63","82","62","64","","","","","","","","","","","","","",""
"14","Davante Adams","LA","42","9","22","20","","","","","","","","","","","","","",""
"158","Dominic Lovett","DET","","123","121","114","","","","","","","","","","","","","",""
"28","Wan'Dale Robinson","NYG","33","5","82","71","","","","","","","","","","","","","",""
"21","Nico Collins","HST","64","30","2","29","","","","","","","","","","","","","",""
"136","Jaylin Noel","HST","101","123","115","110","","","","","","","","","","","","","",""
"104","Allen Lazard","NYJ","","123","40","103","","","","","","","","","","","","","",""
"96","Jayden Reed","GB","22","123","","","","","","","","","","","","","","","",""
"86","Brycen Tremayne","CAR","118","65","84","55","","","","","","","","","","","","","",""
"134","Ashton Dulin","IND","104","123","121","89","","","","","","","","","","","","","",""
"56","Sterling Shepard","TB","55","68","33","75","","","","","","","","","","","","","",""
"84","Xavier Hutchinson","HST","64","78","72","79","","","","","","","","","","","","","",""
"79","Adonai Mitchell","IND","80","85","121","28","","","","","","","","","","","","","",""
"158","Kameron Johnson","TB","118","123","121","114","","","","","","","","","","","","","",""
"140","D'Wayne Eskridge","MIA","98","108","121","114","","","","","","","","","","","","","",""
"6","George Pickens","DAL","62","14","15","2","","","","","","","","","","","","","",""
"137","Pat Bryant","DEN","118","88","121","114","","","","","","","","","","","","","",""
"52","Kayshon Boutte","NE","17","57","71","89","","","","","","","","","","","","","",""
"146","Trent Sherfield","DEN","109","117","121","114","","","","","","","","","","","","","",""
"109","Chris Moore","WAS","78","","73","111","","","","","","","","","","","","","",""
"108","Mitchell Tinsley","CIN","118","59","121","100","","","","","","","","","","","","","",""
"158","Jackson Meeks","DET","","","","114","","","","","","","","","","","","","",""
"158","KhaDarel Hodge","ATL","118","123","121","","","","","","","","","","","","","","",""
"103","Kalif Raymond","DET","84","94","115","82","","","","","","","","","","","","","",""
"34","Troy Franklin","DEN","48","7","90","36","","","","","","","","","","","","","",""
"158","KeAndre Lambert-Smith","LAC","118","123","","114","","","","","","","","","","","","","",""
"125","Zay Jones","ARZ","107","123","73","","","","","","","","","","","","","","",""
"50","Cedric Tillman","CLV","18","46","60","105","","","","","","","","","","","","","",""
"132","Xavier Smith","LA","74","123","","114","","","","","","","","","","","","","",""
"8","Emeka Egbuka","TB","4","32","24","11","","","","","","","","","","","","","",""
"111","Casey Washington","ATL","59","","","88","","","","","","","","","","","","","",""
"130","Jack Bech","LV","88","123","102","114","","","","","","","","","","","","","",""
"99","Ray-Ray McCloud III","ATL","52","123","80","113","","","","","","","","","","","","","",""
"47","JuJu Smith-Schuster","KC","37","112","39","24","","","","","","","","","","","","","",""
"32","Tyquan Thornton","KC","61","31","14","43","","","","","","","","","","","","","",""
"158","Konata Mumpfield","LA","118","123","121","114","","","","","","","","","","","","","",""
"18","D.K. Metcalf","PIT","28","40","31","7","","","","","","","","","","","","","",""
"94","Dont'e Thornton Jr.","LV","58","97","69","114","","","","","","","","","","","","","",""
"65","Alec Pierce","IND","74","41","35","","","","","","","","","","","","","","",""
"26","Marquise Brown","KC","10","62","44","26","","","","","","","","","","","","","",""
"74","Mack Hollins","NE","109","65","54","49","","","","","","","","","","","","","",""
"54","Jerry Jeudy","CLV","32","52","92","45","","","","","","","","","","","","","",""
"13","Michael Pittman Jr.","IND","9","62","13","22","","","","","","","","","","","","","",""
"30","Khalil Shakir","BUF","26","104","24","15","","","","","","","","","","","","","",""
"23","Tyreek Hill","MIA","53","19","17","27","","","","","","","","","","","","","",""
"158","Isaiah Williams","NYJ","","","","114","","","","","","","","","","","","","",""
"131","Xavier Legette","CAR","81","121","","","","","","","","","","","","","","","",""
"81","Jayden Higgins","HST","66","88","111","37","","","","","","","","","","","","","",""
"81","Parker Washington","JAX","118","34","51","156","","","","","","","","","","","","","",""
"137","Kyle Williams","NE","94","123","107","157","","","","","","","","","","","","","",""
"19","Malik Nabers","NYG","29","2","87","75","","","","","","","","","","","","","",""
"158","Bo Melton","GB","","","121","","","","","","","","","","","","","","",""
"24","Ricky Pearsall","SF","20","51","11","42","","","","","","","","","","","","","",""
"9","Keenan Allen","LAC","11","18","12","41","","","","","","","","","","","","","",""
"43","Marvin Mims Jr.","DEN","79","45","115","9","","","","","","","","","","","","","",""
"47","A.J. Brown","PHI","99","67","5","91","","","","","","","","","","","","","",""
"3","Rome Odunze","CHI","19","4","19","17","","","","","","","","","","","","","",""
"158","Alex Bachman","LV","118","123","121","","","","","","","","","","","","","","",""
"37","DJ Moore","CHI","36","49","28","45","","","","","","","","","","","","","",""
"125","Andrei Iosivas","CIN","118","104","121","79","","","","","","","","","","","","","",""
"120","Malik Heath","GB","118","80","121","100","","","","","","","","","","","","","",""
"158","Myles Price","MIN","","","121","","","","","","","","","","","","","","",""
"70","Calvin Ridley","TEN","56","56","81","65","","","","","","","","","","","","","",""
"158","Justin Shorter","LV","","","121","","","","","","","","","","","","","","",""
"151","David Sills V","ATL","118","123","104","114","","","","","","","","","","","","","",""
"100","Isaac TeSlaa","DET","49","87","121","114","","","","","","","","","","","","","",""
"20","Drake London","ATL","22","64","36","5","","","","","","","","","","","","","",""
"77","Devontez Walker","BLT","","20","76","114","","","","","","","","","","","","","",""
"92","Jordan Addison","MIN","","","","21","","","","","","","","","","","","","",""
"1","Puka Nacua","LA","5","6","6","1","","","","","","","","","","","","","",""
"149","Dareke Young","SEA","","123","100","114","","","","","","","","","","","","","",""
"101","Jahan Dotson","PHI","44","116","110","114","","","","","","","","","","","","","",""
"63","Rashod Bateman","BLT","92","92","16","81","","","","","","","","","","","","","",""
"12","Courtland Sutton","DEN","12","111","4","13","","","","","","","","","","","","","",""
"17","Ja'Marr Chase","CIN","74","3","34","51","","","","","","","","","","","","","",""
"71","Jalen Nailor","MIN","82","74","54","52","","","","","","","","","","","","","",""
"156","Roman Wilson","PIT","118","110","121","114","","","","","","","","","","","","","",""
"124","Justin Watson","HST","70","117","","","","","","","","","","","","","","","",""
"158","Beaux Collins","NYG","118","","121","114","","","","","","","","","","","","","",""
"60","Olamide Zaccheaus","CHI","50","84","56","39","","","","","","","","","","","","","",""
"158","Jalin Hyatt","NYG","","","121","114","","","","","","","","","","","","","",""
"76","Dontayvion Wicks","GB","68","58","78","77","","","","","","","","","","","","","",""
"114","Savion Williams","GB","111","103","160","63","","","","","","","","","","","","","",""
"35","Keon Coleman","BUF","2","75","68","48","","","","","","","","","","","","","",""
"31","Jakobi Meyers","LV","15","33","40","54","","","","","","","","","","","","","",""
"87","Tutu Atwell","LA","107","123","121","19","","","","","","","","","","","","","",""
"114","Ryan Flournoy","DAL","","123","78","68","","","","","","","","","","","","","",""
"158","Dalevon Campbell","CAR","","","","114","","","","","","","","","","","","","",""
"118","Tre Harris","LAC","95","76","121","114","","","","","","","","","","","","","",""
"84","Malik Washington","MIA","69","92","58","74","","","","","","","","","","","","","",""
"51","Ladd McConkey","LAC","24","47","46","98","","","","","","","","","","","","","",""
"158","Anthony Gould","IND","","","121","","","","","","","","","","","","","","",""
"102","Jordan Whittington","LA","116","72","86","104","","","","","","","","","","","","","",""
"44","Brian Thomas Jr.","JAX","43","55","50","32","","","","","","","","","","","","","",""
"88","Xavier Worthy","KC","118","","","16","","","","","","","","","","","","","",""
"158","Kevin Austin Jr.","NO","","","121","","","","","","","","","","","","","","",""
"95","Greg Dortch","ARZ","114","106","90","44","","","","","","","","","","","","","",""
"39","Elic Ayomanor","TEN","88","24","26","57","","","","","","","","","","","","","",""
"29","Jaylen Waddle","MIA","54","14","20","45","","","","","","","","","","","","","",""
"27","Marvin Harrison Jr.","ARZ","12","80","51","14","","","","","","","","","","","","","",""
"2","Amon-Ra St. Brown","DET","47","1","7","4","","","","","","","","","","","","","",""
"120","Noah Brown","WAS","70","107","","","","","","","","","","","","","","","",""
"110","Devaughn Vele","NO","93","69","","114","","","","","","","","","","","","","",""
"91","Michael Wilson","ARZ","104","60","111","69","","","","","","","","","","","","","",""
"137","Josh Reynolds","NYJ","82","","","114","","","","","","","","","","","","","",""
"123","Van Jefferson","TEN","118","97","107","105","","","","","","","","","","","","","",""
"158","Darius Cooper","PHI","118","123","121","","","","","","","","","","","","","","",""
"62","Luke McCaffrey","WAS","118","99","22","34","","","","","","","","","","","","","",""
"4","Quentin Johnston","LAC","3","23","20","6","","","","","","","","","","","","","",""
"52","Hunter Renfrow","CAR","91","8","96","85","","","","","","","","","","","","","",""
"113","Ryan Miller","TB","118","53","121","114","","","","","","","","","","","","","",""
"151","Marquez Valdes-Scantling","SF","118","123","104","","","","","","","","","","","","","","",""
"129","Chris Godwin","TB","","","","62","","","","","","","","","","","","","",""
"158","Jason Brownlee","KC","118","123","121","","","","","","","","","","","","","","",""
"61","Jauan Jennings","SF","84","11","","71","","","","","","","","","","","","","",""
"38","Stefon Diggs","NE","31","70","65","18","","","","","","","","","","","","","",""
"105","Tyler Lockett","TEN","118","99","49","114","","","","","","","","","","","","","",""
"119","Chimere Dike","TEN","113","101","84","158","","","","","","","","","","","","","",""
"158","Tim Jones","MIN","118","123","","","","","","","","","","","","","","","",""
"120","Nick Westbrook-Ikhine","MIA","101","88","121","109","","","","","","","","","","","","","",""
"158","Cody White","SEA","118","","","","","","","","","","","","","","","","",""
"127","Jamari Thrash","CLV","103","112","92","114","","","","","","","","","","","","","",""
"148","Tez Johnson","TB","118","","121","97","","","","","","","","","","","","","",""
"135","Nikko Remigio","KC","118","96","118","114","","","","","","","","","","","","","",""
"158","Mason Tipton","NO","","","121","114","","","","","","","","","","","","","",""
"40","DeVonta Smith","PHI","74","50","9","67","","","","","","","","","","","","","",""
"107","Tyler Johnson","NYJ","67","123","66","","","","","","","","","","","","","","",""
"106","Christian Kirk","HST","","","61","65","","","","","","","","","","","","","",""
"65","Josh Downs","IND","90","38","62","57","","","","","","","","","","","","","",""
"158","Malik Turner","SF","","","121","","","","","","","","","","","","","","",""